agency_name,_type,id,name,description,classification,start_time,end_time,timezone,status,all_day,location_name,location_url,location_address,source_url,source_note,scraped_time
Illinois Department of Public Health,event,il_pubhealth/201808211000/16856/hospital_licensing_board,Hospital Licensing Board ,"VIDEO CONFERENCE
525 W. Jefferson St., 4th Floor Video Conference Room, Springfield, IL
122 S. Michigan Ave., Conference Room 723, 7th Floor, Chicago, IL
Marion Regional Office, 2309 W. Main Street, Marion, IL
10:00 a.m. – 12:00 p.m.
Interested persons may contact Elaine Huddleston in the Office of Health Care Regulations, Division of Health Care Facilities and Programs at",Not classified,2018-08-21 10:00,2018-08-21 12:00,America/Chicago,tentative,0,N/A,N/A,N/A,http://www.dph.illinois.gov/events?page=4,N/A,2018-03-26 19:16
Illinois Department of Public Health,event,il_pubhealth/201809061000/17406/ems_for_children_advisory_council,EMS for Children Advisory Council,"Locations of meeting:  Illinois Hospital Association, 1151 E. Warrenville Road, Naperville, IL 60566 and Illinois Hospital Association, 700 South 2nd Street, Springfield, IL 62704
Contact for the meeting @
IDPH:  Evelyn Lyons, 708-327-2556,",Not classified,2018-09-06 10:00,2018-09-06 12:00,America/Chicago,tentative,0,N/A,N/A,N/A,http://www.dph.illinois.gov/events?page=4,N/A,2018-03-26 19:16
Illinois Department of Public Health,event,il_pubhealth/201809061315/17431/illinois_college_of_emergency_physicians_ems_forum,Illinois College of Emergency Physicians EMS Forum,"Division of EMS & Highway Safety, 525/535 W. Jefferson, 4th Floor, Springfield, IL 62702
ICEP, 3000 Woodcreek Drive, Suite #200, Downers Grove, IL
Via videoconference
IDPH Bell Building, 3rd Floor Conference Room
(ICC) Illinois Central College
Unity Point Health-Trinity
Memorial Hospital – Belleville
Contact for the meeting @ IDPH:  217.785.2080 EMS Main Line",Not classified,2018-09-06 13:15,2018-09-06 15:00,America/Chicago,tentative,0,N/A,N/A,N/A,http://www.dph.illinois.gov/events?page=4,N/A,2018-03-26 19:16
Illinois Department of Public Health,event,il_pubhealth/201809121000/16766/ambulatory_surgical_treatment_center_licensing_board,Ambulatory Surgical Treatment Center Licensing Board,"Meeting Agenda – TBA
VIDEO CONFERENCE
525 W. Jefferson St., 4th Floor Video Conference Room, Springfield, IL
122 S. Michigan Ave., Conference Room 711, 7th Floor, Chicago, IL
245 W. Roosevelt, Bldg 5, West Chicago
Interested persons may contact Elaine Huddleston in the Office of Health Care Regulations, Division of Health Care Facilities and Programs at 217-782-0483.",Not classified,2018-09-12 10:00,2018-09-12 12:00,America/Chicago,tentative,0,N/A,N/A,N/A,http://www.dph.illinois.gov/events?page=4,N/A,2018-03-26 19:16
Illinois Department of Public Health,event,il_pubhealth/201809271030/17346/state_ems_and_trauma_joint_advisory_council_meetings,State EMS and Trauma Joint Advisory Council Meetings,"Memorial Medical Center, Center for Learning and Innovation – (face-to-face/videoconference)
Springfield
AND VIA VIDEOCONFERENCE AT:
IDPH Champaign Regional Office, Room B, 2125 S. First St., Champaign, IL 61820
IDPH Edwardsville Regional Office, 22 Kettle River Dr., Glen Carbon, IL 62034
IDPH Marion Regional Office, Room 10, 2309 W. Main St., Marion, IL 62959
IDPH Peoria Regional Office, 5415 N. University, Peoria, IL 61614
IDPH Rockford Regional Office, 4302 N. Main St., Rockford, IL 61103
Illinois College of Emergency Physicians, 3000 Woodcreek Dr., Downers Grove, IL 60515
Unity Point Health-Trinity, 2701 17th St., 3rd Floor, Rock Island, IL 61201
Interested persons may contact the Division of EMS and Highway Safety at 217-785-2080.",Not classified,2018-09-27 10:30,2018-09-27 13:30,America/Chicago,tentative,0,N/A,N/A,N/A,http://www.dph.illinois.gov/events?page=5,N/A,2018-03-26 19:16
Illinois Department of Public Health,event,il_pubhealth/201810091030/16821/end_stage_renal_disease_advisory_board,End Stage Renal Disease Advisory Board ,"VIDEO CONFERENCE
525 W. Jefferson St., 4th Floor Video Conference Room, Springfield, IL
122 S. Michigan Ave., Conference Room 711, 7th Floor, Chicago, IL
10:30 a.m. – 12:30 p.m.
Interested persons may contact Elaine Huddleston in the Office of Health Care Regulations, Division of Health Care Facilities and Programs at",Not classified,2018-10-09 10:30,2018-10-09 12:30,America/Chicago,tentative,0,N/A,N/A,N/A,http://www.dph.illinois.gov/events?page=5,N/A,2018-03-26 19:16
Illinois Department of Public Health,event,il_pubhealth/201810101030/16926/home_health_home_services_and_home_nursing_advisory_board,"Home Health, Home Services and Home Nursing Advisory Board","VIDEO CONFERENCE
525 W. Jefferson St., 4th Floor Video Conference Room, Springfield, IL
122 S. Michigan Ave., Conference Room 711, 7th Floor, Chicago, IL
#22 Kettle River Dr., Edwardsville, IL
2309 W. Main St., Marion, IL
10:30 a.m. – 12:30 p.m.
Interested persons may contact Elaine Huddleston in the Office of Health Care Regulations, Division of Health Care Facilities and Programs at",Not classified,2018-10-10 10:30,2018-10-10 12:30,America/Chicago,tentative,0,N/A,N/A,N/A,http://www.dph.illinois.gov/events?page=5,N/A,2018-03-26 19:16
Illinois Department of Public Health,event,il_pubhealth/201810221015/17171/state_ems_education_committee,State EMS Education Committee,"​​State EMS Education Committee, 422 South 5
Street, Springfield, IL 62701
VIA VIDEOCONFERENCE AT:
Illinois College of Emergency Physicians, 3000 Woodcreek Dr., Downers Grove, IL 60515
IDPH Marion Regional Office, Room 10, 2309 W. Main St., Marion, IL 62959
IDPH Bell Building, 422 S. 5th St., 3rd Floor Conference Room, Springfield, IL 62703
Illinois Central College, 5407 N. University, Cedar Room 146, Peoria, IL 61635-0001
Parkland College, 2400 West Bradley Ave. Room X-135, Champaign, IL 61821
Unity Point Health-Trinity, 2701 17th St., 3rd Floor, Rock Island, IL 61201",Not classified,2018-10-22 10:15,2018-10-22 12:30,America/Chicago,tentative,0,N/A,N/A,N/A,http://www.dph.illinois.gov/events?page=5,N/A,2018-03-26 19:16
Illinois Department of Public Health,event,il_pubhealth/201810221200/17276/alzheimer_s_disease_advisory_committee,Alzheimer’s Disease Advisory Committee,"Rush University Medical Center
Searle Conference Center - 5
Floor – Room 507/Sippy
Professional Building - 1725 W. Harrison
Chicago, IL 60612-3864
Interested persons may contact the Alzheimer’s Disease Program at 217-558-4081",Not classified,2018-10-22 12:00,2018-10-22 15:00,America/Chicago,tentative,0,N/A,N/A,N/A,http://www.dph.illinois.gov/events?page=5,N/A,2018-03-26 19:16
Illinois Department of Public Health,event,il_pubhealth/201810301000/17931/rare_diseases_commission,Rare Diseases Commission,"Meeting Agenda – to be provided
CONFERENCE ROOMS
69 West Washington St., 35th Floor, Chicago
535 West Jefferson St., 5th Floor, Springfield
Dial-in 1-888-494-4032; Access Code:  6749670741
Interested persons may contact the Office of Health Promotion at 217-785-4093 for information",Not classified,2018-10-30 10:00,2018-10-30 12:00,America/Chicago,tentative,0,N/A,N/A,N/A,http://www.dph.illinois.gov/events?page=5,N/A,2018-03-26 19:16
Illinois Department of Public Health,event,il_pubhealth/201811071000/16881/developmentally_disabled_facility_advisory_board_meeting,Developmentally Disabled Facility Advisory Board Meeting,"Videoconference and Teleconference (Tel#888-494-4032- Access Code: 9705523024)
525 W. Jefferson St., 4th Floor Video Conference Room, Springfield, IL
122 S. Michigan Ave., Conference Room 711, 7th Floor, Chicago, IL
5415 N. University St., Peoria
10:00 a.m. – 12:00 p.m.
For this meeting, interested persons may contact Connie Jensen at the Division of Health Care Facilities and Programs at",Not classified,2018-11-07 10:00,2018-11-07 12:00,America/Chicago,tentative,0,N/A,N/A,N/A,http://www.dph.illinois.gov/events?page=5,N/A,2018-03-26 19:16
Illinois Department of Public Health,event,il_pubhealth/201811081030/17351/ems_advisory_council_meeting,EMS Advisory Council Meeting,"Meeting Agenda - TBA
Memorial Medical Center, Center for Learning and Innovation – (face-to-face/videoconference)
Springfield
AND VIA VIDEOCONFERENCE AT:
IDPH Champaign Regional Office, Room B, 2125 S. First St., Champaign, IL 61820
IDPH Edwardsville Regional Office, 22 Kettle River Dr., Glen Carbon, IL 62034
IDPH Marion Regional Office, Room 10, 2309 W. Main St., Marion, IL 62959
IDPH Peoria Regional Office, 5415 N. University, Peoria, IL 61614
IDPH Rockford Regional Office, 4302 N. Main St., Rockford, IL 61103
Illinois College of Emergency Physicians, 3000 Woodcreek Dr., Downers Grove, IL 60515
Unity Point Health-Trinity, 2701 17th St., 3rd Floor, Rock Island, IL 61201
Interested persons may contact the Division of EMS and Highway Safety at 217-785-2080.",Not classified,2018-11-08 10:30,2018-11-08 13:30,America/Chicago,tentative,0,N/A,N/A,N/A,http://www.dph.illinois.gov/events?page=5,N/A,2018-03-26 19:16
Illinois Department of Public Health,event,il_pubhealth/201811081030/16841/hospice_and_palliative_care_advisory_board_committee_board,Hospice and Palliative Care Advisory Board Committee Board ,"VIDEO CONFERENCE
525 W. Jefferson St., 4th Floor Video Conference Room, Springfield, IL
122 S. Michigan Ave., Conference Room 711, 7th Floor, Chicago, IL
10:30 a.m. – 12:30 p.m.
Interested persons may contact Elaine Huddleston in the Office of Health Care Regulations, Division of Health Care Facilities and Programs at",Not classified,2018-11-08 10:30,2018-11-08 12:30,America/Chicago,tentative,0,N/A,N/A,N/A,http://www.dph.illinois.gov/events?page=5,N/A,2018-03-26 19:16
Illinois Department of Public Health,event,il_pubhealth/201811141100/17391/state_stroke_advisory_subcommittee_meeting,State Stroke Advisory Subcommittee Meeting,N/A,Not classified,2018-11-14 11:00,2018-11-14 15:00,America/Chicago,tentative,0,N/A,N/A,N/A,http://www.dph.illinois.gov/events?page=5,N/A,2018-03-26 19:16
Illinois Department of Public Health,event,il_pubhealth/201811151000/16901/long_term_care_facility_advisory_board_meeting,Long Term Care Facility Advisory Board Meeting,"Videoconference and Teleconference (Tel#888-494-4032- Access Code: 4512265788)
525 W. Jefferson St., 4th Floor Video Conference Room, Springfield, IL
122 S. Michigan Ave., Conference Room 711, 7th Floor, Chicago, IL
4212 W. St Charles Road, Bellwood
5415 N. University Street, Peoria
10:00 a.m. – 12:00 p.m.
For this meeting, interested persons may contact Darlene Harney at the Bureau of Long Term Care at",Not classified,2018-11-15 10:00,2018-11-15 12:00,America/Chicago,tentative,0,N/A,N/A,N/A,http://www.dph.illinois.gov/events?page=6,N/A,2018-03-26 19:16
Illinois Department of Public Health,event,il_pubhealth/201811151330/16611/institutional_review_board_meeting,Institutional Review Board Meeting,"Illinois Department of Public Health
Conference Room 711, 7th Floor
122 S. Michigan Ave.
Chicago
AND
Illinois Department of Public Health
Director’s Conference Room, Fifth Floor
535 W. Jefferson St.
Springfield
Interested persons may contact the Institutional Review Board at 312-814-5173.",Not classified,2018-11-15 13:30,2018-11-15 15:00,America/Chicago,tentative,0,N/A,N/A,N/A,http://www.dph.illinois.gov/events?page=6,N/A,2018-03-26 19:16
Illinois Department of Public Health,event,il_pubhealth/201811201000/16861/hospital_licensing_board,Hospital Licensing Board ,"VIDEO CONFERENCE
525 W. Jefferson St., 4th Floor Video Conference Room, Springfield, IL
122 S. Michigan Ave., Conference Room 723, 7th Floor, Chicago, IL
Marion Regional Office, 2309 W. Main Street, Marion, IL
10:00 a.m. – 12:00 p.m.
Interested persons may contact Elaine Huddleston in the Office of Health Care Regulations, Division of Health Care Facilities and Programs at",Not classified,2018-11-20 10:00,2018-11-20 12:00,America/Chicago,tentative,0,N/A,N/A,N/A,http://www.dph.illinois.gov/events?page=6,N/A,2018-03-26 19:16
Illinois Department of Public Health,event,il_pubhealth/201812061000/17411/ems_for_children_advisory_council,EMS for Children Advisory Council,"Locations of meeting:  Illinois Hospital Association, 1151 E. Warrenville Road, Naperville, IL 60566 and Illinois Hospital Association, 700 South 2nd Street, Springfield, IL 62704
Contact for the meeting @
IDPH:  Evelyn Lyons, 708-327-2556,",Not classified,2018-12-06 10:00,2018-12-06 12:00,America/Chicago,tentative,0,N/A,N/A,N/A,http://www.dph.illinois.gov/events?page=6,N/A,2018-03-26 19:16
Illinois Department of Public Health,event,il_pubhealth/201812061100/17371/trauma_advisory_council_meeting,Trauma Advisory Council Meeting,"Memorial Center for Learning & Innovation, 228 W. Miller St., Springfield, IL 62702
Also via video conference at:
IDPH Marion Regional Office, Room 10
IDPH Rockford Regional Office
ICEP
Unity Point Health-Trinity
Contact for the meeting @
IDPH:  217.785.2080 EMS Main Line",Not classified,2018-12-06 11:00,2018-12-06 13:00,America/Chicago,tentative,0,N/A,N/A,N/A,http://www.dph.illinois.gov/events?page=6,N/A,2018-03-26 19:16
Illinois Department of Public Health,event,il_pubhealth/201812061315/17436/illinois_college_of_emergency_physicians_ems_forum,Illinois College of Emergency Physicians EMS Forum,"Division of EMS & Highway Safety, 525/535 W. Jefferson, 4th Floor, Springfield, IL 62702
ICEP, 3000 Woodcreek Drive, Suite #200, Downers Grove, IL
Via videoconference
IDPH Bell Building, 3rd Floor Conference Room
(ICC) Illinois Central College
Unity Point Health-Trinity
Memorial Hospital – Belleville
Contact for the meeting @ IDPH:  217.785.2080 EMS Main Line",Not classified,2018-12-06 13:15,2018-12-06 15:00,America/Chicago,tentative,0,N/A,N/A,N/A,http://www.dph.illinois.gov/events?page=6,N/A,2018-03-26 19:16
Illinois Department of Public Health,event,il_pubhealth/201812121000/16771/ambulatory_surgical_treatment_center_licensing_board,Ambulatory Surgical Treatment Center Licensing Board,"Meeting Agenda – TBA
VIDEO CONFERENCE
525 W. Jefferson St., 4th Floor Video Conference Room, Springfield, IL
122 S. Michigan Ave., Conference Room 711, 7th Floor, Chicago, IL
245 W. Roosevelt, Bldg 5, West Chicago
4212 W St. Charles Rd, Bellwood
Interested persons may contact Elaine Huddleston in the Office of Health Care Regulations, Division of Health Care Facilities and Programs at 217-782-0483.",Not classified,2018-12-12 10:00,2018-12-12 12:00,America/Chicago,tentative,0,N/A,N/A,N/A,http://www.dph.illinois.gov/events?page=6,N/A,2018-03-26 19:16
